X,Y,fid,TIPO,icon_url
-110.311454,24.146351,"514",PRIMARIA,
-109.715738,23.808236,"515",PREESCOLAR,
-111.292304,24.908568,"516",PRIMARIA,
-110.297381,24.055025,"517",PRIMARIA,
-109.945416,22.946225,"518",PRIMARIA,
-110.30454,24.144353,"519",PREESCOLAR,
-111.144351,24.544281,"520",INICIAL GENERAL,
-112.025637,25.769041,"521",PRIMARIA,
-111.271,25.7358,"522",INICIAL GENERAL,
-110.317,23.8089,"523",INICIAL GENERAL,
-110.310318,24.159751,"524",PREESCOLAR,
-109.585967,23.596731,"525",PREESCOLAR,
-111.332039,25.085111,"526",PRIMARIA,
-111.290585,24.907264,"527",PRIMARIA,
-112.198214,26.002008,"528",PRIMARIA,
-111.672355,25.034835,"529",PRIMARIA,
-111.026062,24.899111,"530",INICIAL GENERAL,
-111.347443,26.007651,"531",SECUNDARIA,
-110.321946,24.125163,"532",PRIMARIA,
-110.012218,23.221988,"533",SECUNDARIA,
-109.925186,22.897019,"534",PRIMARIA,
-110.262864,23.925228,"535",PRIMARIA,
-110.142439,23.220133,"536",PRIMARIA,
-110.299131,24.050525,"537",PRIMARIA,
-111.530833,25.097222,"538",SECUNDARIA,
-109.429208,23.438026,"539",PRIMARIA,
-111.835,26.0381,"540",INICIAL GENERAL,
-110.372317,24.101308,"541",SECUNDARIA,
-111.91992,25.493493,"542",PRIMARIA,
-110.024783,23.342043,"543",INICIAL GENERAL,
-112.266801,27.338283,"544",PREESCOLAR,
-110.024783,23.342043,"545",PRIMARIA,
-111.451778,26.392414,"546",INICIAL GENERAL,
-110.68863,24.371179,"547",PRIMARIA,
-109.709,23.1964,"548",INICIAL GENERAL,
-110.164851,23.364019,"549",SECUNDARIA,
-109.680878,23.065738,"550",PREESCOLAR,
-109.699591,23.662295,"551",PREESCOLAR,
-111.640242,25.071891,"552",PRIMARIA,
-110.965,24.886,"553",INICIAL GENERAL,
-110.70879,24.907806,"554",INICIAL GENERAL,
-109.925,22.897,"555",PRIMARIA,
-110.312121,24.091487,"556",PRIMARIA,
-110.112506,23.743638,"557",PRIMARIA,
-110.566008,24.150528,"558",PRIMARIA,
-110.332108,24.131262,"559",PRIMARIA,
-111.484461,25.757312,"560",INICIAL GENERAL,
-109.925998,22.923694,"561",PRIMARIA,
-109.932981,22.892009,"562",PRIMARIA,
-113.339468,27.528183,"563",PRIMARIA,
-110.223701,23.654304,"564",PRIMARIA,
-110.287145,24.146297,"565",PRIMARIA,
-111.937838,26.869335,"566",PREESCOLAR,
-109.718699,23.105222,"567",PREESCOLAR,
-113.454,27.6184,"568",INICIAL GENERAL,
-114.049649,27.974416,"569",PRIMARIA,
-112.107253,24.785579,"570",SECUNDARIA,
-109.922284,22.950947,"571",PREESCOLAR,
-110.316577,24.146536,"572",PREESCOLAR,
-112.076727,27.186599,"573",SECUNDARIA,
-111.113472,25.405779,"574",SECUNDARIA,
-111.62821,24.931399,"575",PRIMARIA,
-110.328026,24.135059,"576",PRIMARIA,
-109.695921,23.057563,"577",PREESCOLAR,
-111.637414,25.334668,"578",PRIMARIA,
-109.994357,24.076143,"579",SECUNDARIA,
-111.684082,25.026948,"580",PREESCOLAR,
-110.142439,23.220133,"581",INICIAL GENERAL,
-110.302059,24.167686,"582",PREESCOLAR,
-109.699683,23.679363,"583",PREESCOLAR,
